Key,Address,Command,,,Harman-Kardon AVR161 Remote control commands
"""On""",0x7080,0xC0,,,
"""Off""",0x7080,0x9F,,,
"""Mute""",0x7080,0xC1,,,
"""Cable/Sat""",0x7080,0xB0,,,
"""STB""",0x7080,0xD3,,,
"""TV""",0x7080,0xB1,,,
"""Disc""",0x7080,0xD0,,,
"""MHL""",0x7080,0xEF,,,
"""Aux""",0x7080,0xCD,,,
"""Audio""",0x7080,0xB4,,,
"""Game""",0x7080,0xB2,,,
"""AVR""",0x7080,0xC0,,,
"""USB""",0x7080,0xF5,,,
"""Network""",0x7080,0xB5,,,
"""Radio""",0x7080,0x81,,,
"""SurrMode""",0x7282,0xA8,,,
"""OSD/Menu""",0x7282,0x5C,,,
"""UP""",0x7282,0x99,,,
"""LEFT""",0x7282,0xC1,,,
"""OK""",0x7282,0x84,,,
"""RIGHT""",0x7282,0xC2,,,
"""DOWN""",0x7282,0x9A,,,
"""Back/Exit""",0x7080,0xB7,,,
"""Home""",0x7080,0xBB,,,
"""1""",0x7080,0x87,,,
"""2""",0x7080,0x88,,,
"""3""",0x7080,0x89,,,
"""4""",0x7080,0x8A,,,
"""5""",0x7080,0x8B,,,
"""6""",0x7080,0x8C,,,
"""7""",0x7080,0x8D,,,
"""8""",0x7080,0x8E,,,
"""Clear""",0x7282,0xD9,,,
"""9""",0x7080,0x9D,,,
"""0""",0x7080,0x9E,,,
"""Test""",0x7282,0x8C,,,
"""Vol_UP""",0x7080,0xC7,,,
"""Vol_DOWN""",0x7080,0xC8,,,
"""Delay""",0x7080,0x52,,,
"""Sleep""",0x7080,0xDB,,,
"""Ch/Tuner _UP""",0x7080,0x84,,,
"""Ch/Tuner_DOWN""",0x7080,0x85,,,
"""Info""",0x7080,0xB8,,,
"""DIM""",0x7080,0xDC,,,
"""P-Scan""",0x7686,0x50,,,
"""Direct""",0x7080,0x9B,,,
"""MEM""",0x7080,0x86,,,
"""RDS*""",0x7282,0xDD,,,
"""Prev""",0x7484,0x55,,,
"""Rew""",0x7484,0xDA,,,
"""Forw""",0x7484,0xDB,,,
"""Next""",0x7484,0x56,,,
" ""Stop""",0x7484,0xEA,,,
"""Play""",0x7484,0xDE,,,
"""Pause""",0x7484,0xDF,,,
"""PrevCH""",0x7282,0x5D,,,
